category	source_file	line	code_span
historical-closed-doc	docs/issues/closed/1732-replace-aquatic-udp-protocol/ISSUE.md	272	packages/aquatic-peer-id/src/lib.rs
historical-closed-doc	docs/issues/closed/1732-replace-aquatic-udp-protocol/ISSUE.md	282	packages/udp-protocol/src/peer_builder.rs
historical-closed-doc	docs/issues/closed/1732-replace-aquatic-udp-protocol/ISSUE.md	294	packages/udp-tracker-core
historical-closed-doc	docs/issues/closed/1732-replace-aquatic-udp-protocol/ISSUE.md	296	packages/udp-protocol/src/peer_builder.rs
historical-closed-doc	docs/issues/closed/1732-replace-aquatic-udp-protocol/ISSUE.md	297	packages/udp-tracker-core/src/peer_builder.rs
historical-closed-doc	docs/issues/closed/1732-replace-aquatic-udp-protocol/ISSUE.md	299	packages/udp-tracker-core/src/services/announce.rs
historical-closed-doc	docs/issues/closed/1732-replace-aquatic-udp-protocol/ISSUE.md	308	packages/aquatic-udp-protocol
historical-closed-doc	docs/issues/closed/1732-replace-aquatic-udp-protocol/ISSUE.md	315	packages/udp-protocol/src/peer_id.rs
historical-closed-doc	docs/issues/closed/1732-replace-aquatic-udp-protocol/ISSUE.md	323	packages/aquatic-udp-protocol
historical-closed-doc	docs/issues/closed/1732-replace-aquatic-udp-protocol/ISSUE.md	323	packages/aquatic-peer-id
directory-reference	docs/issues/closed/1732-replace-aquatic-udp-protocol/ISSUE.md	332	packages/bittorrent-primitives/
historical-closed-doc	docs/issues/closed/1732-replace-aquatic-udp-protocol/ISSUE.md	338	packages/bittorrent-primitives/Cargo.toml
historical-closed-doc	docs/issues/closed/1732-replace-aquatic-udp-protocol/ISSUE.md	339	src/info_hash.rs
directory-reference	docs/issues/closed/1732-replace-aquatic-udp-protocol/ISSUE.md	344	packages/bittorrent-primitives/
historical-closed-doc	docs/issues/closed/1732-replace-aquatic-udp-protocol/ISSUE.md	375	packages/aquatic-udp-protocol
historical-closed-doc	docs/issues/closed/1732-replace-aquatic-udp-protocol/ISSUE.md	375	packages/aquatic-peer-id
historical-closed-doc	docs/issues/closed/1732-replace-aquatic-udp-protocol/step-2-analysis.md	15	packages/aquatic-peer-id
historical-closed-doc	docs/issues/closed/1732-replace-aquatic-udp-protocol/step-2-analysis.md	15	packages/aquatic-udp-protocol
historical-closed-doc	docs/issues/closed/1732-replace-aquatic-udp-protocol/step-2-analysis.md	25	packages/aquatic-udp-protocol
historical-closed-doc	docs/issues/closed/1732-replace-aquatic-udp-protocol/step-2-analysis.md	72	packages/aquatic-udp-protocol
historical-closed-doc	docs/issues/closed/1732-replace-aquatic-udp-protocol/step-2-analysis.md	78	packages/aquatic-peer-id
directory-reference	docs/issues/closed/1732-replace-aquatic-udp-protocol/step-3-bittorrent-primitives-problem.md	89	packages/bittorrent-primitives/
historical-closed-doc	docs/issues/closed/1732-replace-aquatic-udp-protocol/step-3-bittorrent-primitives-problem.md	98	src/info_hash.rs
directory-reference	docs/issues/closed/1732-replace-aquatic-udp-protocol/step-3-bittorrent-primitives-problem.md	148	packages/bittorrent-primitives/
